Position,Force,Speed
-2070.800049,-4.460000038,2.279999971
-2069.334961,-4.519999981,-0.800000012
-2009.031982,-4.550000191,-2.130000114
-1949.218018,-4.489999771,-2.5
-1888.915039,-4.670000076,-2.130000114
-1829.344971,-5.420000076,-0.629999995
-1769.286011,-6.199999809,-1.700000048
-1709.959961,-6.190000057,-2.630000114
-1648.925049,-6.260000229,-3.210000038
-1588.134033,-6.230000019,-3.769999981
-1529.052002,-6.239999771,-4.130000114
-1469.480957,-6.25,-3.390000105
-1407.469971,-6.199999809,-3.190000057
-1346.435059,-6.269999981,-3.730000019
-1289.30603,-6.21999979,-3.720000029
-1228.759033,-6.21999979,-3.630000114
-1168.699951,-6.190000057,-3.200000048
-1108.641968,-6.099999905,-2.660000086
-1047.362061,-5.989999771,-2.00999999
-988.2800293,-5.820000172,-1.960000038
-929.6870117,-5.46999979,-1.789999962
-867.9190063,-5.119999886,-1.620000005
-809.5689697,-5,-2.049999952
-748.7780151,-4.960000038,-1.730000019
-687.9869995,-4.96999979,-2.799999952
-629.3939819,-4.989999771,-3.809999943
-566.6489868,-4.960000038,-4.760000229
-505.8580017,-4.949999809,-5.110000134
-449.9500122,-4.929999828,-5.199999809
-384.7650146,-4.900000095,-5.949999809
-323.4849854,-4.96999979,-6.420000076
-265.6239929,-4.949999809,-6.449999809
-204.1009979,-4.920000076,-6.739999771
-146.4830017,-4.889999866,-7.03000021
-85.4489975,-4.980000019,-7.110000134
-90.33100128,-3.329999924,0.889999986
-152.5870056,-3.460000038,3.390000105
-214.8430023,-3.480000019,5.090000153
-276.855011,-3.569999933,6.239999771
-330.5650024,-3.589999914,7.039999962
-396.2390137,-3.630000114,7.710000038
-453.1239929,-3.730000019,7.909999847
-510.4970093,-3.690000057,8.039999962
-570.3120117,-3.700000048,8.510000229
-636.9619751,-3.769999981,8.920000076
-690.6729736,-3.789999962,8.899999619
-753.6610107,-3.789999962,9.069999695
-819.5789795,-3.779999971,9.270000458
-871.0930176,-3.75999999,9.800000191
-936.7670288,-3.74000001,10.25
-996.8250122,-3.819999933,10.03999996
-1052.978027,-3.779999971,9.779999733
-1111.083008,-3.799999952,9.699999809
-1171.874023,-3.769999981,9.069999695
-1236.571045,-3.769999981,8.550000191
-1291.990967,-3.769999981,8.260000229
-1353.270996,-3.809999943,7.949999809
-1410.887939,-3.829999924,8.159999847
-1473.387939,-3.779999971,7.21999979
-1530.516968,-3.789999962,6.239999771
-1592.771973,-3.839999914,5.320000172
-1650.145996,-3.829999924,2.819999933
-1649.412964,-3.75999999,-0.340000004
-1585.447998,-3.75999999,-3.440000057
-1524.901001,-3.799999952,-5.269999981
-1468.993042,-3.789999962,-6.289999962
-1408.202026,-3.839999914,-7.070000172
-1349.853027,-3.769999981,-7.739999771
-1286.375977,-3.789999962,-7.699999809
-1224.364014,-3.839999914,-7.21999979
-1168.699951,-3.779999971,-6.5
-1109.618042,-3.819999933,-5.639999866
-1047.605957,-3.789999962,-4.25
-1052.244995,-3.789999962,2.319999933
-1111.327026,-3.799999952,3.49000001
-1170.409058,-3.779999971,3.329999924
-1231.199951,-3.819999933,2.019999981
-1229.979004,-3.430000067,-1.460000038
-1169.677002,-3.400000095,-3.210000038
-1105.223999,-3.410000086,-4.400000095
-1044.921021,-3.440000057,-5.190000057
-986.5709839,-3.410000086,-5.179999828
-924.3150024,-3.450000048,-5.71999979
-863.5239868,-3.470000029,-6.730000019
-807.8599854,-3.410000086,-6.789999962
-749.0219727,-3.460000038,-6.789999962
-683.348999,-3.430000067,-7.099999905
-622.802002,-3.420000076,-7.429999828
-566.4050293,-3.420000076,-7.739999771
-509.7650146,-3.470000029,-7.860000134
-445.3120117,-3.410000086,-7.389999866
-382.07901,-3.410000086,-7.889999866
-323.973999,-3.440000057,-7.989999771
-263.67099,-3.460000038,-7.71999979
-209.9600067,-3.430000067,-7.75
-142.5769958,-3.440000057,-8.359999657
-83.98400116,-3.440000057,-9.210000038
-29.54100037,-1.360000014,-0.930000007
30.02899933,4.010000229,-0.610000014
90.33200073,13.57999992,-0.970000029
150.8789978,15.71000004,-1.529999971
210.2050018,19.61000061,-0.649999976
270.5079956,23.42000008,-0.409999996
330.0780029,25.12999916,-0.50999999
329.3460083,25.90999985,0.610000014
269.5310059,17.98999977,0.800000012
209.4730072,5.340000153,0.730000019
148.9259949,0.930000007,2.109999895
87.64600372,-1.659999967,2.779999971
29.78499985,-3.470000029,3.25999999
